CBO ID CB5,CBO label CB5,CBO ID CB4,CBO label CB4,CBO ID CB3,CBO label CB3,CBO ID CB2,CBO label CB2,CBO ID CB1,CBO label CB1,CBO ID CB0,CBO label CB0
010105,Oficial general da aeronautica,0101,Oficiais generais das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010110,Oficial general do exercito,0101,Oficiais generais das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010115,Oficial general da marinha,0101,Oficiais generais das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010215,Oficial da marinha,0102,Oficiais das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010210,Oficial do exercito,0102,Oficiais das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010205,Oficial da aeronautica,0102,Oficiais das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010310,Praca do exercito,0103,Pracas das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010315,Praca da marinha,0103,Pracas das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
010305,Praca da aeronautica,0103,Pracas das forcas armadas,010,Membros das forcas armadas                                                                                                        ,01,Membros das forcas armadas                                                                                                        ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
020115,Major da policia militar,0201,Oficiais superiores da policia militar,020,Oficiais de policia militar                                                                                                       ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
020105,Coronel da policia militar,0201,Oficiais superiores da policia militar,020,Oficiais de policia militar                                                                                                       ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
020110,Tenente-coronel da policia militar,0201,Oficiais superiores da policia militar,020,Oficiais de policia militar                                                                                                       ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
020205,Capitao da policia militar,0202,Capitaes da  policia militar,020,Oficiais de policia militar                                                                                                       ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
020305,Primeiro tenente de policia militar,0203,Tenentes da policia militar,020,Oficiais de policia militar                                                                                                       ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
020310,Segundo tenente de policia militar,0203,Tenentes da policia militar,020,Oficiais de policia militar                                                                                                       ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
021105,Subtenente da policia militar,0211,Subtenentes e sargentos da policia militar,021,Pracas de policia militar                                                                                                         ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
021110,Sargento da policia militar,0211,Subtenentes e sargentos da policia militar,021,Pracas de policia militar                                                                                                         ,02,Policiais militares                                                                                                               ,0,"Membros das forcas armadas, policiais e bombeiros militares                                                                       ",0,All occupations
