CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",1,1,0
112,Cultivo de arroz ,1,1,0
113,"Cultivo de hortalizas, raices y tuberculos ",1,1,0
114,Cultivo de tabaco ,1,1,0
115,Cultivo de plantas textiles ,1,1,0
119,Otros cultivos transitorios n.c.p.,1,1,0
121,Cultivo de frutas tropicales y subtropicales,1,1,0
122,Cultivo de platano y banano,1,1,0
123,Cultivo de cafe,1,1,0
124,Cultivo de cana de azucar,1,1,0
125,Cultivo de flor de corte,1,1,0
126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,1,1,0
127,Cultivo de plantas con las que se preparan bebidas,1,1,0
128,Cultivo de especias y de plantas aromaticas y medicinales ,1,1,0
129,Otros cultivos permanentes n.c.p.,1,1,0
130,"Propagacion de plantas (actividades de los viveros, excepto viveros forestales) ",1,1,0
141,Cria de ganado bovino y bufalino,1,1,0
142,Cria de caballos y otros equinos ,1,1,0
143,Cria de ovejas y cabras ,1,1,0
144,Cria de ganado porcino,1,1,0
145,Cria de aves de corral,1,1,0
149,Cria de otros animales n.c.p.,1,1,0
150,Explotacion mixta (agricola y pecuaria) ,1,1,0
161,Actividades de apoyo a la agricultura ,1,1,0
162,Actividades de apoyo a la ganaderia,1,1,0
163,Actividades posteriores a la cosecha ,1,1,0
164,Tratamiento de semillas para propagacion ,1,1,0
170,Caza ordinaria y mediante trampas y actividades de servicios conexas ,1,1,0
210,Silvicultura y otras actividades forestales,2,1,0
220,Extraccion de madera ,2,1,0
230,Recoleccion de productos forestales diferentes a la madera,2,1,0
240,Servicios de apoyo a la silvicultura ,2,1,0
311,Pesca maritima ,3,1,0
312,Pesca de agua dulce ,3,1,0
321,Acuicultura maritima ,3,1,0
322,Acuicultura de agua dulce,3,1,0
510,Extraccion de hulla (carbon de piedra),5,2,0
520,Extraccion de carbon lignito,5,2,0
610,Extraccion de petroleo crudo,6,2,0
620,Extraccion de gas natural,6,2,0
710,Extraccion de minerales de hierro,7,2,0
721,Extraccion de minerales de uranio y de torio,7,2,0
722,Extraccion de oro y otros metales preciosos,7,2,0
723,Extraccion de minerales de niquel,7,2,0
729,Extraccion de otros minerales metaliferos no ferrosos n.c.p.,7,2,0
811,"Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita",8,2,0
812,"Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas",8,2,0
820,"Extraccion de esmeraldas, piedras preciosas y semipreciosas",8,2,0
891,Extraccion de minerales para la fabricacion de abonos y productos quimicos,8,2,0
892,Extraccion de halita (sal),8,2,0
899,Extraccion de otros minerales no metalicos n.c.p.,8,2,0
910,Actividades de apoyo para la extraccion de petroleo y de gas natural,9,2,0
990,Actividades de apoyo para otras actividades de explotacion de minas y canteras,9,2,0
1011,Procesamiento y conservacion de carne y productos carnicos,10,3,0
1012,"Procesamiento y conservacion de pescados, crustaceos y moluscos",10,3,0
1020,"Procesamiento y conservacion de frutas, legumbres, hortalizas y tuberculos",10,3,0
1030,Elaboracion de aceites y grasas de origen vegetal y animal,10,3,0
1040,Elaboracion de productos lacteos,10,3,0
1051,Elaboracion de productos de molineria,10,3,0
1052,Elaboracion de almidones y productos derivados del almidon,10,3,0
1061,Trilla de cafe,10,3,0
1062,"Descafeinado, tostion y molienda del cafe",10,3,0
1063,Otros derivados del cafe,10,3,0
1071,Elaboracion y refinacion de azucar,10,3,0
1072,Elaboracion de panela,10,3,0
1081,Elaboracion de productos de panaderia,10,3,0
1082,"Elaboracion de cacao, chocolate y productos de confiteria",10,3,0
1083,"Elaboracion de macarrones, fideos, alcuzcuz y productos farinaceos similares",10,3,0
1084,Elaboracion de comidas y platos preparados,10,3,0
1089,Elaboracion de otros productos alimenticios n.c.p.,10,3,0
1090,Elaboracion de alimentos preparados para animales,10,3,0
1101,"Destilacion, rectificacion y mezcla de bebidas alcoholicas",11,3,0
1102,Elaboracion de bebidas fermentadas no destiladas,11,3,0
1103,"Produccion de malta, elaboracion de cervezas y otras bebidas malteadas",11,3,0
