CNAE ID CNC,CNAE label CNC,CNAE ID CNG,CNAE label CNG,CNAE ID CND,CNAE label CND,CNAE ID CNS,CNAE label CNS,CNAE ID CN0,CNAE label CN0
a01113,Cultivo de cereais,011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01121,Cultivo de algodao herbaceo e de outras fibras de lavoura temporaria,011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01130,Cultivo de cana-de-acucar,011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01148,Cultivo de fumo,011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01156,Cultivo de soja,011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01164,"Cultivo de oleaginosas de lavoura temporaria, exceto soja",011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01199,Cultivo de plantas de lavoura temporaria nao especificadas anteriormente,011,Producao de lavouras temporarias,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01211,Horticultura,012,Horticultura e floricultura,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01229,Cultivo de flores e plantas ornamentais,012,Horticultura e floricultura,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01318,Cultivo de laranja,013,Producao de lavouras permanentes,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01326,Cultivo de uva,013,Producao de lavouras permanentes,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01334,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",013,Producao de lavouras permanentes,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01342,Cultivo de cafe,013,Producao de lavouras permanentes,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01351,Cultivo de cacau,013,Producao de lavouras permanentes,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01393,Cultivo de plantas de lavoura permanente nao especificadas anteriormente,013,Producao de lavouras permanentes,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01415,Producao de sementes certificadas,014,Producao de sementes e mudas certificadas,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01423,"Producao de mudas e outras formas de propagacao vegetal, certificadas",014,Producao de sementes e mudas certificadas,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01512,Criacao de bovinos,015,Pecuaria,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01521,Criacao de outros animais de grande porte,015,Pecuaria,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
a01539,Criacao de caprinos e ovinos,015,Pecuaria,01,"Agricultura, pecuaria e servicos relacionados",A,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0,All industries
