BRA ID EST,BRA ID MER,BRA ID MIR
1ac,1ac00,1ac0000
1ac,1ac00,1ac0001
1ac,1ac01,1ac0100
1ac,1ac01,1ac0101
1ac,1ac01,1ac0102
1am,1am00,1am0000
1am,1am00,1am0001
1am,1am00,1am0002
1am,1am00,1am0003
1am,1am00,1am0004
1am,1am00,1am0005
1am,1am01,1am0100
1am,1am01,1am0101
1am,1am02,1am0200
1am,1am02,1am0201
1am,1am03,1am0300
1am,1am03,1am0301
1am,1am03,1am0302
1ap,1ap00,1ap0000
1ap,1ap00,1ap0001
1ap,1ap01,1ap0100
1ap,1ap01,1ap0101
1pa,1pa00,1pa0000
1pa,1pa00,1pa0001
1pa,1pa00,1pa0002
1pa,1pa01,1pa0100
1pa,1pa01,1pa0101
1pa,1pa01,1pa0102
1pa,1pa02,1pa0200
1pa,1pa02,1pa0201
1pa,1pa03,1pa0300
1pa,1pa03,1pa0301
1pa,1pa03,1pa0302
1pa,1pa03,1pa0303
1pa,1pa03,1pa0304
1pa,1pa04,1pa0400
1pa,1pa04,1pa0401
1pa,1pa04,1pa0402
1pa,1pa04,1pa0403
1pa,1pa04,1pa0404
1pa,1pa04,1pa0405
1pa,1pa04,1pa0406
1pa,1pa05,1pa0500
1pa,1pa05,1pa0501
1ro,1ro00,1ro0000
1ro,1ro00,1ro0001
1ro,1ro00,1ro0002
1ro,1ro00,1ro0003
1ro,1ro00,1ro0004
1ro,1ro00,1ro0005
1ro,1ro01,1ro0100
1ro,1ro01,1ro0101
1rr,1rr00,1rr0000
1rr,1rr00,1rr0001
1rr,1rr01,1rr0100
1rr,1rr01,1rr0101
1to,1to00,1to0000
1to,1to00,1to0001
1to,1to00,1to0002
1to,1to00,1to0003
1to,1to00,1to0004
1to,1to01,1to0100
1to,1to01,1to0101
1to,1to01,1to0102
2al,2al00,2al0000
2al,2al00,2al0001
2al,2al00,2al0002
2al,2al01,2al0100
2al,2al01,2al0101
2al,2al01,2al0102
2al,2al01,2al0103
2al,2al01,2al0104
2al,2al01,2al0105
2al,2al02,2al0200
2al,2al02,2al0201
2al,2al02,2al0202
2al,2al02,2al0203
2ba,2ba00,2ba0000
2ba,2ba00,2ba0001
2ba,2ba00,2ba0002
2ba,2ba00,2ba0003
2ba,2ba00,2ba0004
2ba,2ba01,2ba0100
2ba,2ba01,2ba0101
2ba,2ba01,2ba0102
2ba,2ba01,2ba0103
2ba,2ba01,2ba0104
2ba,2ba01,2ba0105
2ba,2ba01,2ba0106
2ba,2ba01,2ba0107
2ba,2ba02,2ba0200
2ba,2ba02,2ba0201
2ba,2ba02,2ba0202
2ba,2ba03,2ba0300
2ba,2ba03,2ba0301
2ba,2ba03,2ba0302
2ba,2ba04,2ba0400
2ba,2ba04,2ba0401
2ba,2ba04,2ba0402
2ba,2ba04,2ba0403
2ba,2ba04,2ba0404
2ba,2ba04,2ba0405
2ba,2ba05,2ba0500
2ba,2ba05,2ba0501
2ba,2ba05,2ba0502
2ba,2ba06,2ba0600
2ba,2ba06,2ba0601
2ba,2ba06,2ba0602
2ba,2ba06,2ba0603
2ce,2ce00,2ce0000
2ce,2ce00,2ce0001
2ce,2ce00,2ce0002
2ce,2ce01,2ce0100
2ce,2ce01,2ce0101
2ce,2ce01,2ce0102
2ce,2ce01,2ce0103
2ce,2ce02,2ce0200
2ce,2ce02,2ce0201
2ce,2ce03,2ce0300
2ce,2ce03,2ce0301
2ce,2ce03,2ce0302
2ce,2ce03,2ce0303
2ce,2ce03,2ce0304
2ce,2ce03,2ce0305
2ce,2ce03,2ce0306
2ce,2ce04,2ce0400
2ce,2ce04,2ce0401
2ce,2ce04,2ce0402
2ce,2ce04,2ce0403
2ce,2ce04,2ce0404
2ce,2ce04,2ce0405
2ce,2ce04,2ce0406
2ce,2ce04,2ce0407
2ce,2ce05,2ce0500
2ce,2ce05,2ce0501
2ce,2ce05,2ce0502
2ce,2ce05,2ce0503
2ce,2ce06,2ce0600
2ce,2ce06,2ce0601
2ce,2ce06,2ce0602
2ce,2ce06,2ce0603
2ce,2ce06,2ce0604
2ma,2ma00,2ma0000
2ma,2ma00,2ma0001
2ma,2ma00,2ma0002
2ma,2ma01,2ma0100
2ma,2ma01,2ma0101
2ma,2ma01,2ma0102
2ma,2ma01,2ma0103
2ma,2ma01,2ma0104
2ma,2ma01,2ma0105
2ma,2ma02,2ma0200
2ma,2ma02,2ma0201
2ma,2ma02,2ma0202
2ma,2ma02,2ma0203
2ma,2ma02,2ma0204
2ma,2ma02,2ma0205
2ma,2ma03,2ma0300
2ma,2ma03,2ma0301
2ma,2ma03,2ma0302
2ma,2ma04,2ma0400
2ma,2ma04,2ma0401
2ma,2ma04,2ma0402
2pb,2pb00,2pb0000
2pb,2pb00,2pb0001
2pb,2pb00,2pb0002
2pb,2pb00,2pb0003
2pb,2pb00,2pb0004
2pb,2pb00,2pb0005
2pb,2pb00,2pb0006
2pb,2pb00,2pb0007
2pb,2pb01,2pb0100
2pb,2pb01,2pb0101
2pb,2pb01,2pb0102
2pb,2pb01,2pb0103
2pb,2pb02,2pb0200
2pb,2pb02,2pb0201
2pb,2pb02,2pb0202
2pb,2pb02,2pb0203
2pb,2pb03,2pb0300
2pb,2pb03,2pb0301
2pb,2pb03,2pb0302
2pb,2pb03,2pb0303
2pb,2pb03,2pb0304
2pb,2pb03,2pb0305
2pb,2pb03,2pb0306
2pe,2pe00,2pe0000
2pe,2pe00,2pe0001
2pe,2pe00,2pe0002
2pe,2pe00,2pe0003
2pe,2pe00,2pe0004
2pe,2pe00,2pe0005
2pe,2pe01,2pe0100
2pe,2pe01,2pe0101
2pe,2pe01,2pe0102
2pe,2pe02,2pe0200
2pe,2pe02,2pe0201
2pe,2pe02,2pe0202
2pe,2pe02,2pe0203
2pe,2pe03,2pe0300
2pe,2pe03,2pe0301
2pe,2pe04,2pe0400
2pe,2pe04,2pe0401
2pe,2pe04,2pe0402
2pe,2pe04,2pe0403
2pi,2pi00,2pi0000
2pi,2pi00,2pi0001
2pi,2pi00,2pi0002
2pi,2pi00,2pi0003
2pi,2pi01,2pi0100
2pi,2pi01,2pi0101
2pi,2pi02,2pi0200
2pi,2pi02,2pi0201
2pi,2pi02,2pi0202
2pi,2pi03,2pi0300
2pi,2pi03,2pi0301
2pi,2pi03,2pi0302
2pi,2pi03,2pi0303
2pi,2pi03,2pi0304
2pi,2pi03,2pi0305
2rn,2rn00,2rn0000
2rn,2rn00,2rn0001
2rn,2rn00,2rn0002
2rn,2rn01,2rn0100
2rn,2rn01,2rn0101
2rn,2rn01,2rn0102
2rn,2rn01,2rn0103
2rn,2rn01,2rn0104
2rn,2rn02,2rn0200
2rn,2rn02,2rn0201
2rn,2rn02,2rn0202
2rn,2rn02,2rn0203
2rn,2rn03,2rn0300
2rn,2rn03,2rn0301
2rn,2rn03,2rn0302
2rn,2rn03,2rn0303
2rn,2rn03,2rn0304
2rn,2rn03,2rn0305
2rn,2rn03,2rn0306
2se,2se00,2se0000
2se,2se00,2se0001
2se,2se00,2se0002
2se,2se00,2se0003
2se,2se01,2se0100
2se,2se01,2se0101
2se,2se01,2se0102
2se,2se01,2se0103
2se,2se01,2se0104
2se,2se01,2se0105
2se,2se01,2se0106
2se,2se02,2se0200
2se,2se02,2se0201
3df,3df00,3df0000
3go,3go00,3go0000
3go,3go00,3go0001
3go,3go00,3go0002
3go,3go00,3go0003
3go,3go00,3go0004
3go,3go01,3go0100
3go,3go01,3go0101
3go,3go02,3go0200
3go,3go02,3go0201
3go,3go02,3go0202
3go,3go03,3go0300
3go,3go03,3go0301
3go,3go04,3go0400
3go,3go04,3go0401
3go,3go04,3go0402
3go,3go04,3go0403
3go,3go04,3go0404
3go,3go04,3go0405
3ms,3ms00,3ms0000
3ms,3ms00,3ms0001
3ms,3ms01,3ms0100
