,reg_id,reg_name,comuna_id,comuna_cus,comuna_tax,comuna_nam,prov_name,prov_id,area_name,area_id,LLMACode
0,1.0,Tarapacá,113.0,1101,1201.0,Iquique,Iquique,11.0,Iquique,11.0,1101
1,1.0,Tarapacá,5.0,1107,1211.0,Alto Hospicio,Iquique,11.0,Iquique,11.0,1101
2,1.0,Tarapacá,226.0,1401,1204.0,Pozo Almonte,Tamarugal,14.0,Tamarugal,14.0,1101
3,1.0,Tarapacá,26.0,1402,1208.0,Camiña,Tamarugal,14.0,Tamarugal,14.0,1101
4,1.0,Tarapacá,58.0,1403,1210.0,Colchane,Tamarugal,14.0,Tamarugal,14.0,1101
5,1.0,Tarapacá,108.0,1404,1206.0,Huara,Tamarugal,14.0,Tamarugal,14.0,1101
6,1.0,Tarapacá,217.0,1405,1203.0,Pica,Tamarugal,14.0,Tamarugal,14.0,1101
7,2.0,Antofagasta,9.0,2101,2201.0,Antofagasta,Antofagasta,21.0,Antofagasta,21.0,2101
8,2.0,Antofagasta,170.0,2102,2203.0,Mejillones,Antofagasta,21.0,Antofagasta,21.0,2101
9,2.0,Antofagasta,309.0,2103,2206.0,Sierra Gorda,Antofagasta,21.0,Antofagasta,21.0,2101
10,2.0,Antofagasta,313.0,2104,2202.0,Taltal,Antofagasta,21.0,Antofagasta,21.0,2101
11,2.0,Antofagasta,19.0,2201,2301.0,Calama,El Loa,22.0,El Loa,22.0,2201
12,2.0,Antofagasta,189.0,2202,2302.0,Ollague,El Loa,22.0,El Loa,22.0,2201
13,2.0,Antofagasta,189.0,2202,2302.0,Ollague,El Loa,22.0,El Loa,22.0,2201
14,2.0,Antofagasta,297.0,2203,2303.0,San Pedro de Atacama,El Loa,22.0,El Loa,22.0,2201
15,2.0,Antofagasta,321.0,2301,2101.0,Tocopilla,Tocopilla,23.0,Tocopilla,23.0,2301
16,2.0,Antofagasta,165.0,2302,2103.0,María Elena,Tocopilla,23.0,Tocopilla,23.0,2301
17,3.0,Atacama,68.0,3101,3201.0,Copiapó,Copiapó,31.0,Copiapó,31.0,3101
18,3.0,Atacama,21.0,3102,3202.0,Caldera,Copiapó,31.0,Copiapó,31.0,3101
19,3.0,Atacama,317.0,3103,3203.0,Tierra Amarilla,Copiapó,31.0,Copiapó,31.0,3101
20,3.0,Atacama,39.0,3201,3101.0,Chañaral,Chañaral,32.0,Chañaral,32.0,3202
21,3.0,Atacama,81.0,3202,3102.0,Diego de Almagro,Chañaral,32.0,Chañaral,32.0,3202
22,3.0,Atacama,330.0,3301,3301.0,Vallenar,Huasco,33.0,Huasco,33.0,3301
23,3.0,Atacama,4.0,3302,3304.0,Alto del Carmen,Huasco,33.0,Huasco,33.0,3301
24,3.0,Atacama,93.0,3303,3302.0,Freirina,Huasco,33.0,Huasco,33.0,3301
25,3.0,Atacama,109.0,3304,3303.0,Huasco,Huasco,33.0,Huasco,33.0,3301
26,4.0,Coquimbo,126.0,4101,4101.0,La Serena,Elqui,41.0,Elqui,41.0,4101
27,4.0,Coquimbo,69.0,4102,4103.0,Coquimbo,Elqui,41.0,Elqui,41.0,4101
28,4.0,Coquimbo,7.0,4103,4104.0,Andacollo,Elqui,41.0,Elqui,41.0,4101
29,4.0,Coquimbo,122.0,4104,4102.0,La Higuera,Elqui,41.0,Elqui,41.0,4101
30,4.0,Coquimbo,195.0,4105,4106.0,Paihuano,Elqui,41.0,Elqui,41.0,4101
31,4.0,Coquimbo,334.0,4106,4105.0,Vicuña,Elqui,41.0,Elqui,41.0,4101
32,4.0,Coquimbo,111.0,4201,4301.0,Illapel,Choapa,42.0,Choapa,42.0,4201
33,4.0,Coquimbo,27.0,4202,4304.0,Canela,Choapa,42.0,Choapa,42.0,4201
34,4.0,Coquimbo,156.0,4203,4303.0,Los Vilos,Choapa,42.0,Choapa,42.0,4201
35,4.0,Coquimbo,278.0,4204,4302.0,Salamanca,Choapa,42.0,Choapa,42.0,4201
36,4.0,Coquimbo,192.0,4301,4201.0,Ovalle,Limarí,43.0,Limarí,43.0,4301
37,4.0,Coquimbo,62.0,4302,4205.0,Combarbalá,Limarí,43.0,Limarí,43.0,4301
38,4.0,Coquimbo,174.0,4303,4203.0,Monte Patria,Limarí,43.0,Limarí,43.0,4301
39,4.0,Coquimbo,237.0,4304,4204.0,Punitaqui,Limarí,43.0,Limarí,43.0,4301
40,4.0,Coquimbo,271.0,4305,4206.0,Río Hurtado,Limarí,43.0,Limarí,43.0,4301
41,5.0,Valparaíso,331.0,5101,5301.0,Valparaíso,Valparaíso,51.0,Valparaíso,51.0,5108
42,5.0,Valparaíso,31.0,5102,5305.0,Casablanca,Valparaíso,51.0,Valparaíso,51.0,5108
43,5.0,Valparaíso,63.0,5103,5309.0,Con Cón,Valparaíso,51.0,Valparaíso,51.0,5108
44,5.0,Valparaíso,229.0,5105,5307.0,Puchuncaví,Valparaíso,51.0,Valparaíso,51.0,5108
45,5.0,Valparaíso,253.0,5106,5304.0,Quilpué,Marga Marga,58.0,Marga Marga,58.0,5108
46,5.0,Valparaíso,257.0,5107,5306.0,Quintero,Valparaíso,51.0,Valparaíso,51.0,5108
47,5.0,Valparaíso,337.0,5108,5303.0,Villa Alemana,Marga Marga,58.0,Marga Marga,58.0,5108
48,5.0,Valparaíso,339.0,5109,5302.0,Viña del Mar,Valparaíso,51.0,Valparaíso,51.0,5108
49,5.0,Valparaíso,151.0,5301,5701.0,Los Andes,Los Andes,53.0,Los Andes,53.0,5701
50,5.0,Valparaíso,24.0,5302,5702.0,Calle Larga,Los Andes,53.0,Los Andes,53.0,5701
51,5.0,Valparaíso,268.0,5303,5704.0,Rinconada,Los Andes,53.0,Los Andes,53.0,5701
52,5.0,Valparaíso,283.0,5304,5703.0,San Esteban,Los Andes,53.0,Los Andes,53.0,5701
53,5.0,Valparaíso,123.0,5401,5201.0,La Ligua,Petorca,54.0,Petorca,54.0,5401
54,5.0,Valparaíso,16.0,5402,5203.0,Cabildo,Petorca,54.0,Petorca,54.0,5402
55,5.0,Valparaíso,202.0,5403,5205.0,Papudo,Petorca,54.0,Petorca,54.0,5401
56,5.0,Valparaíso,215.0,5404,5202.0,Petorca,Petorca,54.0,Petorca,54.0,5402
57,5.0,Valparaíso,344.0,5405,5204.0,Zapallar,Petorca,54.0,Petorca,54.0,5401
58,5.0,Valparaíso,252.0,5501,5501.0,Quillota,Quillota,55.0,Quillota,55.0,5501
59,5.0,Valparaíso,22.0,5502,5504.0,Calera,Quillota,55.0,Quillota,55.0,5501
60,5.0,Valparaíso,103.0,5503,5503.0,Hijuelas,Quillota,55.0,Quillota,55.0,5501
61,5.0,Valparaíso,118.0,5504,5505.0,La Cruz,Quillota,55.0,Quillota,55.0,5501
62,5.0,Valparaíso,138.0,5505,5506.0,Limache,Marga Marga,58.0,Marga Marga,58.0,5108
63,5.0,Valparaíso,183.0,5506,5502.0,Nogales,Quillota,55.0,Quillota,55.0,5501
64,5.0,Valparaíso,190.0,5507,5507.0,Olmué,Marga Marga,58.0,Marga Marga,58.0,5108
65,5.0,Valparaíso,279.0,5601,5401.0,San Antonio,San Antonio,56.0,San Antonio,56.0,5601
66,5.0,Valparaíso,1.0,5602,5406.0,Algarrobo,San Antonio,56.0,San Antonio,56.0,5601
