CNAE ID CNG,CNAE label CNG,annual_avg_emplvl,CLAE 3,Descripción CLAE 3,annual_avg_emplvl
0,SIN ASIGNAR,,0,SIN ASIGNAR,2.32
11,Producao de lavouras temporarias,0.85,11,CULTIVOS TEMPORALES,2.57
12,Horticultura e floricultura,0.09,11,CULTIVOS TEMPORALES,2.57
13,Producao de lavouras permanentes,0.55,12,CULTIVOS PERENNES,1.84
14,Producao de sementes e mudas certificadas,0.03,13,PRODUCCIÓN DE SEMILLAS Y DE OTRAS FORMAS DE PROPAGACIÓN DE CULTIVOS AGRÍCOLAS,0.1
15,Pecuaria,1.03,14,CRÍA DE ANIMALES,1.95
16,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita,0.28,16,SERVICIOS DE APOYO AGRÍCOLAS Y PECUARIOS,1.16
17,Caca e servicos relacionados,0.0,17,"CAZA, REPOBLACIÓN DE ANIMALES DE CAZA Y SERVICIOS DE APOYO",0.0
21,Producao florestal - florestas plantadas,0.14,21,SILVICULTURA,0.02
22,Producao florestal - florestas nativas,0.02,22,EXTRACCIÓN DE PRODUCTOS FORESTALES,0.09
23,Atividades de apoio a producao florestal,0.09,24,SERVICIOS DE APOYO A LA SILVICULTURA,0.09
31,Pesca,0.02,31,PESCA Y SERVICIOS DE APOYO,0.24
32,Aquicultura,0.02,32,"EXPLOTACIÓN DE CRIADEROS DE PECES, GRANJAS PISCÍCOLAS Y OTROS FRUTOS ACUÁTICOS (ACUICULTURA)",0.0
50,Extracao de carvao mineral,0.01,51,EXTRACCIÓN Y AGLOMERACIÓN DE CARBÓN,0.0
60,Extracao de petroleo e gas natural,0.07,61,EXTRACCIÓN DE PETRÓLEO CRUDO,0.0
60,Extracao de petroleo e gas natural,0.07,62,EXTRACCIÓN DE GAS NATURAL,0.0
71,Extracao de minerio de ferro,0.11,71,EXTRACCIÓN DE MINERALES DE HIERRO,0.0
72,Extracao de minerais metalicos nao-ferrosos,0.07,72,EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS,0.04
81,"Extracao de pedra, areia e argila",0.15,81,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLAS",0.09
89,Extracao de outros minerais nao-metalicos,0.05,89,EXPLOTACIÓN DE MINAS Y CANTERAS NCP,0.05
91,Atividades de apoio a extracao de petroleo e gas natural,0.06,91,SERVICIOS DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL,0.37
99,"Atividades de apoio a extracao de minerais, exceto petroleo e gas natural",0.01,99,"SERVICIOS DE APOYO PARA LA MINERÍA, EXCEPTO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL",0.01
101,Abate e fabricacao de produtos de carne,0.89,101,"PRODUCCIÓN Y PROCESAMIENTO DE CARNE Y PRODUCTOS CÁRNICOS, EXCEPTO PESCADO",1.18
102,Preservacao do pescado e fabricacao de produtos do pescado,0.03,102,ELABORACIÓN DE PESCADO Y PRODUCTOS DE PESCADO,0.18
103,"Fabricacao de conservas de frutas, legumes e outros vegetais",0.1,103,"PREPARACIÓN DE FRUTAS, HORTALIZAS Y LEGUMBRES",0.33
104,Fabricacao de oleos e gorduras vegetais e animais,0.07,104,ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL,0.12
105,Laticinios,0.25,105,ELABORACIÓN DE PRODUCTOS LÁCTEOS,0.58
106,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais",0.27,108,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,0.08
107,Fabricacao e refino de acucar,0.68,106,"ELABORACIÓN DE PRODUCTOS DE MOLINERÍA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN",0.15
108,Torrefacao e moagem de cafe,0.04,107,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS NCP,2.53
109,Fabricacao de outros produtos alimenticios,0.75,107,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS NCP,2.53
111,Fabricacao de bebidas alcoolicas,0.12,110,ELABORACIÓN DE BEBIDAS,1.18
112,Fabricacao de bebidas nao-alcoolicas,0.17,110,ELABORACIÓN DE BEBIDAS,1.18
121,Processamento industrial do fumo,0.01,120,ELABORACIÓN DE PRODUCTOS DE TABACO,0.0
122,Fabricacao de produtos do fumo,0.02,120,ELABORACIÓN DE PRODUCTOS DE TABACO,0.0
131,Preparacao e fiacao de fibras texteis,0.11,131,"FABRICACIÓN DE HILADOS Y TEJIDOS, ACABADO DE PRODUCTOS TEXTILES",0.45
132,"Tecelagem, exceto malha",0.12,131,"FABRICACIÓN DE HILADOS Y TEJIDOS, ACABADO DE PRODUCTOS TEXTILES",0.45
133,Fabricacao de tecidos de malha,0.05,131,"FABRICACIÓN DE HILADOS Y TEJIDOS, ACABADO DE PRODUCTOS TEXTILES",0.45
134,"Acabamentos em fios, tecidos e artefatos texteis",0.09,131,"FABRICACIÓN DE HILADOS Y TEJIDOS, ACABADO DE PRODUCTOS TEXTILES",0.45
135,"Fabricacao de artefatos texteis, exceto vestuario",0.25,139,FABRICACIÓN DE PRODUCTOS TEXTILES NCP,0.41
141,Confeccao de artigos do vestuario e acessorios,1.37,141,"CONFECCIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",0.56
141,Confeccao de artigos do vestuario e acessorios,1.37,142,TERMINACIÓN Y TEÑIDO DE PIELES; FABRICACIÓN DE ARTÍCULOS DE PIEL,0.0
142,Fabricacao de artigos de malharia e tricotagem,0.07,143,FABRICACIÓN DE PRENDAS DE VESTIR DE PUNTO,0.06
142,Fabricacao de artigos de malharia e tricotagem,0.07,149,SERVICIOS INDUSTRIALES PARA LA INDUSTRIA CONFECCIONISTA,0.0
151,Curtimento e outras preparacoes de couro,0.08,151,CURTIDO Y TERMINACIÓN DE CUEROS; FABRICACIÓN DE ARTÍCULOS DE MARROQUINERÍA Y TALABARTERÍA,0.15
152,Fabricacao de artigos para viagem e de artefatos diversos de couro,0.06,151,CURTIDO Y TERMINACIÓN DE CUEROS; FABRICACIÓN DE ARTÍCULOS DE MARROQUINERÍA Y TALABARTERÍA,0.15
