,CIIU ID CI4,CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG,CIIU label CI4,labour
0,111.0,11.0,Cultivos Temporales,111.0,"Cultivo de cereales, oleaginosas y forrajeras",11.0,Producao de lavouras temporarias,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",1.63
1,112.0,11.0,Cultivos Temporales,111.0,"Cultivo de cereales, oleaginosas y forrajeras",11.0,Producao de lavouras temporarias,Cultivo de arroz ,0.01
350,,11.0,Cultivos Temporales,111.0,"Cultivo de cereales, oleaginosas y forrajeras",11.0,Producao de lavouras temporarias,,
2,113.0,11.0,Cultivos Temporales,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",12.0,Horticultura e floricultura,"Cultivo de hortalizas, raices y tuberculos ",0.28
351,,11.0,Cultivos Temporales,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",12.0,Horticultura e floricultura,,
6,121.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,Cultivo de frutas tropicales y subtropicales,0.75
7,122.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,Cultivo de platano y banano,1.74
602,123.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,Cultivo de cafe,
603,124.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,Cultivo de cana de azucar,
8,125.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,Cultivo de flor de corte,0.07
604,126.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,
12,130.0,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,"Propagacion de plantas (actividades de los viveros, excepto viveros forestales) ",0.32
352,,12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13.0,Producao de lavouras permanentes,,
605,114.0,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,Cultivo de tabaco ,
3,115.0,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,Cultivo de plantas textiles ,0.0
5,119.0,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,Otros cultivos transitorios n.c.p.,0.99
9,127.0,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,Cultivo de plantas con las que se preparan bebidas,0.03
10,128.0,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,Cultivo de especias y de plantas aromaticas y medicinales ,0.01
11,129.0,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,Otros cultivos permanentes n.c.p.,0.04
353,,12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13.0,Producao de lavouras permanentes,,
606,164.0,13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,14.0,Producao de sementes e mudas certificadas,Tratamiento de semillas para propagacion ,
354,,13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,14.0,Producao de sementes e mudas certificadas,,
13,141.0,14.0,Cría De Animales,121.0,"Cría de ganado y producción de leche , lana y pelos",15.0,Pecuaria,Cria de ganado bovino y bufalino,0.4
14,142.0,14.0,Cría De Animales,121.0,"Cría de ganado y producción de leche , lana y pelos",15.0,Pecuaria,Cria de caballos y otros equinos ,0.01
607,143.0,14.0,Cría De Animales,121.0,"Cría de ganado y producción de leche , lana y pelos",15.0,Pecuaria,Cria de ovejas y cabras ,
15,144.0,14.0,Cría De Animales,121.0,"Cría de ganado y producción de leche , lana y pelos",15.0,Pecuaria,Cria de ganado porcino,0.03
355,,14.0,Cría De Animales,121.0,"Cría de ganado y producción de leche , lana y pelos",15.0,Pecuaria,,
16,145.0,14.0,Cría De Animales,122.0,"Producción de granja y cría de animales, excepto ganado",15.0,Pecuaria,Cria de aves de corral,0.05
18,149.0,14.0,Cría De Animales,122.0,"Producción de granja y cría de animales, excepto ganado",15.0,Pecuaria,Cria de otros animales n.c.p.,0.12
21,162.0,14.0,Cría De Animales,122.0,"Producción de granja y cría de animales, excepto ganado",15.0,Pecuaria,Actividades de apoyo a la ganaderia,0.01
356,,14.0,Cría De Animales,122.0,"Producción de granja y cría de animales, excepto ganado",15.0,Pecuaria,,
19,150.0,14.0,Cría De Animales,,,,,Explotacion mixta (agricola y pecuaria) ,0.42
20,161.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,141.0,Servicios agrícolas,16.0,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita,Actividades de apoyo a la agricultura ,1.61
22,163.0,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,141.0,Servicios agrícolas,16.0,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita,Actividades posteriores a la cosecha ,0.05
357,,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,141.0,Servicios agrícolas,16.0,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita,,
358,,16.0,Servicios De Apoyo Agrícolas Y Pecuarios,142.0,"Servicios pecuarios, excepto los veterinarios",16.0,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita,,
23,170.0,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",17.0,Caca e servicos relacionados,Caza ordinaria y mediante trampas y actividades de servicios conexas ,0.0
359,,17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",17.0,Caca e servicos relacionados,,
24,210.0,21.0,Silvicultura,201.0,Silvicultura,21.0,Producao florestal - florestas plantadas,Silvicultura y otras actividades forestales,0.29
