"Year","IBGE ID","Location","Imports","Exports","Economic Complexity","Nominal Export Growth (1 year)","Nominal Export Growth (5 year)","Nominal Import Growth (1 year)","Nominal Import Growth (5 year)","Product Diversity","Effective Product Diversity","Export Destination Diversity","Effective Export Destination Diversity"
"2016","3550308","São Paulo - SP","USD 9.03B","USD 8.09B","14.23","0% ","0% ","0% ","0% ","947","26.66","185","37.51"
"2016","3548708","São Bernardo do Campo - SP","USD 1.78B","USD 3.2B","12.45","0% ","0% ","0% ","0% ","464","17.46","124","9.715"
"2016","1302603","Manaus - AM","USD 6.2B","USD 551M","9.551","0% ","0% ","0% ","0% ","285","15.5","81","14.08"
"2016","3509502","Campinas - SP","USD 2.48B","USD 811M","7.34","0% ","0% ","0% ","0% ","488","40.4007","126","19.46"
"2016","3505708","Barueri - SP","USD 1.34B","USD 446M","7.322","0% ","0% ","0% ","0% ","449","35.08","124","24.78"
"2016","3518800","Guarulhos - SP","USD 1.8B","USD 1.54B","6.777","0% ","0% ","0% ","0% ","575","18.09","134","15.1"
"2016","3513801","Diadema - SP","USD 409M","USD 185M","6.571","0% ","0% ","0% ","0% ","367","52.14","88","17.23"
"2016","3536505","Paulínia - SP","USD 2.87B","USD 745M","6.199","0% ","0% ","0% ","0% ","150","15.77","76","23.45"
"2016","4125506","São José Dos Pinhais - PR","USD 2.13B","USD 1.68B","6.0898","0% ","0% ","0% ","0% ","337","13","97","6.331"
"2016","3552205","Sorocaba - SP","USD 1.78B","USD 1.26B","5.888","0% ","0% ","0% ","0% ","436","21.19","108","11.1"
"2016","3547809","Santo André - SP","USD 351M","USD 451M","5.745","0% ","0% ","0% ","0% ","273","15.16","83","13.84"
"2016","3552403","Sumaré - SP","USD 445M","USD 355M","5.457","0% ","0% ","0% ","0% ","278","25.97","81","9.143"
"2016","3549904","São José Dos Campos - SP","USD 3B","USD 4.92B","4.971","0% ","0% ","0% ","0% ","353","3.14","109","5.548"
"2016","3556701","Vinhedo - SP","USD 585M","USD 310M","4.94","0% ","0% ","0% ","0% ","307","36.37","85","14.94"
"2016","3520509","Indaiatuba - SP","USD 855M","USD 593M","4.89","0% ","0% ","0% ","0% ","355","19.92","99","8.296"
"2016","2905701","Camaçari - BA","USD 2.53B","USD 1.58B","4.57","0% ","0% ","0% ","0% ","117","13.15","80","10.7178"
"2016","4318705","São Leopoldo - RS","USD 216M","USD 399M","4.547","0% ","0% ","0% ","0% ","236","12.22","104","13.24"
"2016","3538006","Pindamonhangaba - SP","USD 204M","USD 258M","4.512","0% ","0% ","0% ","0% ","100","4.754","56","13.43"
"2016","3304557","Rio de Janeiro - RJ","USD 3.93B","USD 6.4B","4.482","0% ","0% ","0% ","0% ","779","14.01","177","13.81"
"2016","3301702","Duque de Caxias - RJ","USD 556M","USD 744M","4.132","0% ","0% ","0% ","0% ","218","8.0637","94","18.72"
"2016","3524006","Itupeva - SP","USD 216M","USD 219M","3.917","0% ","0% ","0% ","0% ","187","18.88","52","9.632"
"2016","3303906","Petrópolis - RJ","USD 2.34B","USD 2.48B","3.638","0% ","0% ","0% ","0% ","154","1.468","68","2.282"
"2016","2906501","Candeias - BA","USD 247M","USD 241M","3.46","0% ","0% ","0% ","0% ","31","5.114","37","9.46"
"2016","4106902","Curitiba - PR","USD 2.34B","USD 1.26B","3.305","0% ","0% ","0% ","0% ","538","35.02","159","19.62"
"2016","3526902","Limeira - SP","USD 363M","USD 446M","3.21","0% ","0% ","0% ","0% ","223","12.6","104","26.55"
"2016","4322004","Triunfo - RS","USD 992M","USD 1.38B","3.0797","0% ","0% ","0% ","0% ","24","4.521","69","19.23"
"2016","3525904","Jundiaí - SP","USD 1.81B","USD 471M","2.981","0% ","0% ","0% ","0% ","481","53.83","102","16.48"
"2016","3554102","Taubaté - SP","USD 2.06B","USD 814M","2.972","0% ","0% ","0% ","0% ","301","7.797","78","8.352"
"2016","3168705","Timóteo - MG","USD 41.2M","USD 221M","2.762","0% ","0% ","0% ","0% ","11","1.519","43","14.71"
"2016","4309209","Gravataí - RS","USD 816M","USD 679M","2.654","0% ","0% ","0% ","0% ","184","5.357","86","7.475"
"2016","3106705","Betim - MG","USD 495M","USD 1.04B","2.433","0% ","0% ","0% ","0% ","208","8.504","64","5.0874"
"2016","3548906","São Carlos - SP","USD 175M","USD 295M","2.286","0% ","0% ","0% ","0% ","212","9.599","100","14.35"
"2016","3524402","Jacareí - SP","USD 520M","USD 855M","2.279","0% ","0% ","0% ","0% ","194","6.198","74","11.5"
"2016","3552502","Suzano - SP","USD 645M","USD 495M","2.262","0% ","0% ","0% ","0% ","220","14.04","113","16.64"
"2016","3502754","Araçariguama - SP","USD 54.9M","USD 62.9M","2.253","0% ","0% ","0% ","0% ","34","3.438","25","8.912"
"2016","3523909","Itu - SP","USD 207M","USD 216M","2.157","0% ","0% ","0% ","0% ","256","15.03","83","11.76"
"2016","3304201","Resende - RJ","USD 677M","USD 348M","2.0962","0% ","0% ","0% ","0% ","130","11.63","48","7.454"
"2016","3501608","Americana - SP","USD 315M","USD 165M","2.0627","0% ","0% ","0% ","0% ","207","7.765","63","12.25"
"2016","3545803","Santa Bárbara D'oeste - SP","USD 102M","USD 69.3M","1.919","0% ","0% ","0% ","0% ","181","14.29","57","8.00452"
