CIIU ID CI1,CIIU ID CI2,CIIU ID CI3,CIIU ID CI4,CIIU label CI4,CIIU label CI1,CIIU label CI2,CIIU label CI3
A,1.0,11.0,111.0,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ","Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas transitorios 
A,1.0,11.0,112.0,Cultivo de arroz ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas transitorios 
A,1.0,11.0,113.0,"Cultivo de hortalizas, raíces y tubérculos ","Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas transitorios 
A,1.0,11.0,114.0,Cultivo de tabaco ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas transitorios 
A,1.0,11.0,115.0,Cultivo de plantas textiles ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas transitorios 
A,1.0,11.0,119.0,Otros cultivos transitorios n.c.p.,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas transitorios 
A,1.0,12.0,121.0,Cultivo de frutas tropicales y subtropicales,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,122.0,Cultivo de plátano y banano,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,123.0,Cultivo de café,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,124.0,Cultivo de caña de azúcar,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,125.0,Cultivo de flor de corte,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,126.0,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,127.0,Cultivo de plantas con las que se preparan bebidas,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,128.0,Cultivo de especias y de plantas aromáticas y medicinales ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,12.0,129.0,Otros cultivos permanentes n.c.p.,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Cultivos agrícolas permanentes 
A,1.0,13.0,130.0,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ","Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ","Propagación de plantas (actividades de los viveros, excepto viveros forestales) "
A,1.0,14.0,141.0,Cría de ganado bovino y bufalino,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Ganadería 
A,1.0,14.0,142.0,Cría de caballos y otros equinos ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Ganadería 
A,1.0,14.0,143.0,Cría de ovejas y cabras ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Ganadería 
A,1.0,14.0,144.0,Cría de ganado porcino,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Ganadería 
A,1.0,14.0,145.0,Cría de aves de corral,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Ganadería 
A,1.0,14.0,149.0,Cría de otros animales n.c.p.,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Ganadería 
A,1.0,15.0,150.0,Explotación mixta (agrícola y pecuaria) ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Explotación mixta (agrícola y pecuaria) 
A,1.0,16.0,161.0,Actividades de apoyo a la agricultura ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha "
A,1.0,16.0,162.0,Actividades de apoyo a la ganadería,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha "
A,1.0,16.0,163.0,Actividades posteriores a la cosecha ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha "
A,1.0,16.0,164.0,Tratamiento de semillas para propagación ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha "
A,1.0,17.0,170.0,Caza ordinaria y mediante trampas y actividades de servicios conexas ,"Agricultura, ganaderÍa, caza, silvicultura y pesca","Agricultura, ganadería, caza y actividades de servicios conexas ",Caza ordinaria y mediante trampas y actividades de servicios conexas 
A,2.0,21.0,210.0,Silvicultura y otras actividades forestales,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Silvicultura y extracción de madera,Silvicultura y otras actividades forestales
A,2.0,22.0,220.0,Extracción de madera ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Silvicultura y extracción de madera,Extracción de madera 
A,2.0,23.0,230.0,Recolección de productos forestales diferentes a la madera,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Silvicultura y extracción de madera,Recolección de productos forestales diferentes a la madera
A,2.0,24.0,240.0,Servicios de apoyo a la silvicultura ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Silvicultura y extracción de madera,Servicios de apoyo a la silvicultura 
A,3.0,31.0,311.0,Pesca marítima ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Pesca 
A,3.0,31.0,312.0,Pesca de agua dulce ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Pesca 
A,3.0,32.0,321.0,Acuicultura marítima ,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Acuicultura 
A,3.0,32.0,322.0,Acuicultura de agua dulce,"Agricultura, ganaderÍa, caza, silvicultura y pesca",Pesca y acuicultura,Acuicultura 
B,5.0,51.0,510.0,Extracción de hulla (carbón de piedra),ExplotaciÓn de minas y canteras,Extracción de carbón de piedra y lignito,Extracción de hulla (carbón de piedra)
B,5.0,52.0,520.0,Extracción de carbón lignito,ExplotaciÓn de minas y canteras,Extracción de carbón de piedra y lignito,Extracción de carbón lignito
B,6.0,61.0,610.0,Extracción de petróleo crudo,ExplotaciÓn de minas y canteras,Extracción de petróleo crudo y gas natural,Extracción de petróleo crudo
B,6.0,62.0,620.0,Extracción de gas natural,ExplotaciÓn de minas y canteras,Extracción de petróleo crudo y gas natural,Extracción de gas natural
B,7.0,71.0,710.0,Extracción de minerales de hierro,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales de hierro
B,7.0,72.0,721.0,Extracción de minerales de uranio y de torio,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,7.0,72.0,722.0,Extracción de oro y otros metales preciosos,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,7.0,72.0,723.0,Extracción de minerales de níquel,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,7.0,72.0,729.0,Extracción de otros minerales metalíferos no ferrosos n.c.p.,ExplotaciÓn de minas y canteras,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos
B,8.0,81.0,811.0,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares"
B,8.0,81.0,812.0,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares"
B,8.0,82.0,820.0,"Extracción de esmeraldas, piedras preciosas y semipreciosas",ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,"Extracción de esmeraldas, piedras preciosas y semipreciosas"
B,8.0,89.0,891.0,Extracción de minerales para la fabricación de abonos y productos químicos,ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.
B,8.0,89.0,892.0,Extracción de halita (sal),ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.
B,8.0,89.0,899.0,Extracción de otros minerales no metálicos n.c.p.,ExplotaciÓn de minas y canteras,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.
B,9.0,91.0,910.0,Actividades de apoyo para la extracción de petróleo y de gas natural,ExplotaciÓn de minas y canteras,Actividades de servicios de apoyo para la explotación de minas ,Actividades de apoyo para la extracción de petróleo y de gas natural
B,9.0,99.0,990.0,Actividades de apoyo para otras actividades de explotación de minas y canteras,ExplotaciÓn de minas y canteras,Actividades de servicios de apoyo para la explotación de minas ,Actividades de apoyo para otras actividades de explotación de minas y canteras
C,10.0,101.0,1011.0,Procesamiento y conservación de carne y productos cárnicos,Industrias manufactureras,Elaboración de productos alimenticios,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos "
C,10.0,101.0,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos",Industrias manufactureras,Elaboración de productos alimenticios,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos "
C,10.0,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",Industrias manufactureras,Elaboración de productos alimenticios,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
C,10.0,103.0,1030.0,Elaboración de aceites y grasas de origen vegetal y animal,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de aceites y grasas de origen vegetal y animal
C,10.0,104.0,1040.0,Elaboración de productos lácteos,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de productos lácteos
C,10.0,105.0,1051.0,Elaboración de productos de molinería,Industrias manufactureras,Elaboración de productos alimenticios,"Elaboración de productos de molinería, almidones y productos derivados del almidón"
C,10.0,105.0,1052.0,Elaboración de almidones y productos derivados del almidón,Industrias manufactureras,Elaboración de productos alimenticios,"Elaboración de productos de molinería, almidones y productos derivados del almidón"
C,10.0,106.0,1061.0,Trilla de café,Industrias manufactureras,Elaboración de productos alimenticios,Elaboración de productos de café
