CNAE ID S,CNAE ID D,CNAE ID G,CNAE ID C,CNAE label C,CNAE label G,CNAE label D,CNAE label S
A,01,011,a01113,Cultivo de cereais,Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,011,a01121,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,011,a01130,Cultivo de cana-de-açúcar,Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,011,a01148,Cultivo de fumo,Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,011,a01156,Cultivo de soja,Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,011,a01164,"Cultivo de oleaginosas de lavoura temporária, exceto soja",Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,011,a01199,Cultivo de plantas de lavoura temporária não especificadas anteriormente,Produção de lavouras temporárias,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,012,a01211,Horticultura,Horticultura e floricultura,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,012,a01229,Cultivo de flores e plantas ornamentais,Horticultura e floricultura,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,013,a01318,Cultivo de laranja,Produção de lavouras permanentes,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,013,a01326,Cultivo de uva,Produção de lavouras permanentes,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,013,a01334,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",Produção de lavouras permanentes,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
A,01,013,a01342,Cultivo de café,Produção de lavouras permanentes,"Agricultura, pecuÁria e serviÇos relacionados","Agricultura, pecuÁria, produÇÃo florestal, pesca e aqÜicultura"
