CIIU ID S,CIIU ID D,CIIU ID CL,CIIU label CL
1,1,111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas "
1,1,112,Cultivo de arroz 
1,1,113,"Cultivo de hortalizas, raíces y tubérculos "
1,1,114,Cultivo de tabaco 
1,1,115,Cultivo de plantas textiles 
1,1,119,Otros cultivos transitorios n.c.p.
1,1,121,Cultivo de frutas tropicales y subtropicales
1,1,122,Cultivo de plátano y banano
1,1,123,Cultivo de café
1,1,124,Cultivo de caña de azúcar
1,1,125,Cultivo de flor de corte
1,1,126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
1,1,127,Cultivo de plantas con las que se preparan bebidas
1,1,128,Cultivo de especias y de plantas aromáticas y medicinales 
1,1,129,Otros cultivos permanentes n.c.p.
1,1,130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) "
1,1,141,Cría de ganado bovino y bufalino
1,1,142,Cría de caballos y otros equinos 
1,1,143,Cría de ovejas y cabras 
1,1,144,Cría de ganado porcino
1,1,145,Cría de aves de corral
1,1,149,Cría de otros animales n.c.p.
1,1,150,Explotación mixta (agrícola y pecuaria) 
1,1,161,Actividades de apoyo a la agricultura 
1,1,162,Actividades de apoyo a la ganadería
1,1,163,Actividades posteriores a la cosecha 
1,1,164,Tratamiento de semillas para propagación 
1,1,170,Caza ordinaria y mediante trampas y actividades de servicios conexas 
1,2,210,Silvicultura y otras actividades forestales
1,2,220,Extracción de madera 
1,2,230,Recolección de productos forestales diferentes a la madera
1,2,240,Servicios de apoyo a la silvicultura 
1,3,311,Pesca marítima 
1,3,312,Pesca de agua dulce 
1,3,321,Acuicultura marítima 
1,3,322,Acuicultura de agua dulce
2,5,510,Extracción de hulla (carbón de piedra)
2,5,520,Extracción de carbón lignito
2,6,610,Extracción de petróleo crudo
2,6,620,Extracción de gas natural
2,7,710,Extracción de minerales de hierro
2,7,721,Extracción de minerales de uranio y de torio
2,7,722,Extracción de oro y otros metales preciosos
2,7,723,Extracción de minerales de níquel
2,7,729,Extracción de otros minerales metalíferos no ferrosos n.c.p.
2,8,811,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita"
2,8,812,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas"
2,8,820,"Extracción de esmeraldas, piedras preciosas y semipreciosas"
2,8,891,Extracción de minerales para la fabricación de abonos y productos químicos
2,8,892,Extracción de halita (sal)
2,8,899,Extracción de otros minerales no metálicos n.c.p.
2,9,910,Actividades de apoyo para la extracción de petróleo y de gas natural
2,9,990,Actividades de apoyo para otras actividades de explotación de minas y canteras
3,10,1011,Procesamiento y conservación de carne y productos cárnicos
3,10,1012,"Procesamiento y conservación de pescados, crustáceos y moluscos"
3,10,1020,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
3,10,1030,Elaboración de aceites y grasas de origen vegetal y animal
3,10,1040,Elaboración de productos lácteos
3,10,1051,Elaboración de productos de molinería
3,10,1052,Elaboración de almidones y productos derivados del almidón
3,10,1061,Trilla de café
3,10,1062,"Descafeinado, tostión y molienda del café"
3,10,1063,Otros derivados del café
3,10,1071,Elaboración y refinación de azúcar
3,10,1072,Elaboración de panela
3,10,1081,Elaboración de productos de panadería
3,10,1082,"Elaboración de cacao, chocolate y productos de confitería"
3,10,1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares"
3,10,1084,Elaboración de comidas y platos preparados
3,10,1089,Elaboración de otros productos alimenticios n.c.p.
3,10,1090,Elaboración de alimentos preparados para animales
3,11,1101,"Destilación, rectificación y mezcla de bebidas alcohólicas"
3,11,1102,Elaboración de bebidas fermentadas no destiladas
3,11,1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas"
3,11,1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas"
3,12,1200,Elaboración de productos de tabaco
3,13,1311,Preparación e hilatura de fibras textiles
3,13,1312,Tejeduría de productos textiles
3,13,1313,Acabado de productos textiles
3,13,1391,Fabricación de tejidos de punto y ganchillo
3,13,1392,"Confección de artículos con materiales textiles, excepto prendas de vestir"
3,13,1393,Fabricación de tapetes y alfombras para pisos
3,13,1394,"Fabricación de cuerdas, cordeles, cables, bramantes y redes"
3,13,1399,Fabricación de otros artículos textiles n.c.p.
3,14,1410,"Confección de prendas de vestir, excepto prendas de piel"
3,14,1420,Fabricación de artículos de piel
3,14,1430,Fabricación de artículos de punto y ganchillo
3,15,1511,Curtido y recurtido de cueros; recurtido y teñido de pieles
3,15,1512,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería"
3,15,1513,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales"
3,15,1521,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela"
3,15,1522,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel"
3,15,1523,Fabricación de partes del calzado
3,16,1610,"Aserrado, acepillado e impregnación de la madera"
3,16,1620,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles"
3,16,1630,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
3,16,1640,Fabricación de recipientes de madera
3,16,1690,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería"
3,17,1701,Fabricación de pulpas (pastas) celulósicas; papel y cartón
3,17,1702,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón."
3,17,1709,Fabricación de otros artículos de papel y cartón
3,18,1811,Actividades de impresión
3,18,1812,Actividades de servicios relacionados con la impresión
3,18,1820,Producción de copias a partir de grabaciones originales 
3,19,1910,Fabricación de productos de hornos de coque
3,19,1921,Fabricación de productos de la refinación del petróleo
3,19,1922,Actividad de mezcla de combustibles
3,20,2011,Fabricación de sustancias y productos químicos básicos
3,20,2012,Fabricación de abonos y compuestos inorgánicos nitrogenados
3,20,2013,Fabricación de plásticos en formas primarias
3,20,2014,Fabricación de caucho sintético en formas primarias
3,20,2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario
3,20,2022,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas"
3,20,2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador"
3,20,2029,Fabricación de otros productos químicos n.c.p.
3,20,2030,Fabricación de fibras sintéticas y artificiales
3,21,2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
3,22,2211,Fabricación de llantas y neumáticos de caucho
3,22,2212,Reencauche de llantas usadas
3,22,2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.
3,22,2221,Fabricación de formas básicas de plástico
3,22,2229,Fabricación de artículos de plástico n.c.p.
3,23,2310,Fabricación de vidrio y productos de vidrio
3,23,2391,Fabricación de productos refractarios
3,23,2392,Fabricación de materiales de arcilla para la construcción
3,23,2393,Fabricación de otros productos de cerámica y porcelana
3,23,2394,"Fabricación de cemento, cal y yeso"
3,23,2395,"Fabricación de artículos de hormigón, cemento y yeso"
3,23,2396,"Corte, tallado y acabado de la piedra"
3,23,2399,Fabricación de otros productos minerales no metálicos n.c.p.
3,24,2410,Industrias básicas de hierro y de acero
3,24,2421,Industrias básicas de metales preciosos
3,24,2429,Industrias básicas de otros metales no ferrosos
3,24,2431,Fundición de hierro y de acero
3,24,2432,Fundición de metales no ferrosos 
3,25,2511,Fabricación de productos metálicos para uso estructural
3,25,2512,"Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías"
3,25,2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
3,25,2520,Fabricación de armas y municiones
3,25,2591,"Forja, prensado, estampado y laminado de metal; pulvimetalurgia"
3,25,2592,Tratamiento y revestimiento de metales; mecanizado
3,25,2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
3,25,2599,Fabricación de otros productos elaborados de metal n.c.p.
3,26,2610,Fabricación de componentes y tableros electrónicos
3,26,2620,Fabricación de computadoras y de equipo periférico
3,26,2630,Fabricación de equipos de comunicación
3,26,2640,Fabricación de aparatos electrónicos de consumo
3,26,2651,"Fabricación de equipo de medición, prueba, navegación y control"
3,26,2652,Fabricación de relojes
3,26,2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
3,26,2670,Fabricación de instrumentos ópticos y equipo fotográfico
3,26,2680,Fabricación de medios magnéticos y ópticos para almacenamiento de datos
3,27,2711,"Fabricación de motores, generadores y transformadores eléctricos"
3,27,2712,Fabricación de aparatos de distribución y control de la energía eléctrica
3,27,2720,"Fabricación de pilas, baterías y acumuladores eléctricos"
3,27,2731,Fabricación de hilos y cables eléctricos y de fibra óptica
