2.2 - Estrutura detalhada da CNAE 2.0: Códigos e denominações,,,,
,,,,(continua)
Seção,Divisão,Grupo,Classe,Denominação
A,,,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
,01,,,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS"
,,01.1,,Produção de lavouras temporárias
,,,01.11-3,Cultivo de cereais
,,,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
,,,01.13-0,Cultivo de cana-de-açúcar
,,,01.14-8,Cultivo de fumo
,,,01.15-6,Cultivo de soja
,,,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja"
,,,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente
,,01.2,,Horticultura e floricultura
,,,01.21-1,Horticultura
,,,01.22-9,Cultivo de flores e plantas ornamentais
,,01.3,,Produção de lavouras permanentes
,,,01.31-8,Cultivo de laranja
,,,01.32-6,Cultivo de uva
,,,01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva"
,,,01.34-2,Cultivo de café
,,,01.35-1,Cultivo de cacau
,,,01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente
,,01.4,,Produção de sementes e mudas certificadas
,,,01.41-5,Produção de sementes certificadas
,,,01.42-3,"Produção de mudas e outras formas de propagação vegetal, certificadas"
,,01.5,,Pecuária
,,,01.51-2,Criação de bovinos
,,,01.52-1,Criação de outros animais de grande porte
,,,01.53-9,Criação de caprinos e ovinos
,,,01.54-7,Criação de suínos
,,,01.55-5,Criação de aves
,,,01.59-8,Criação de animais não especificados anteriormente
,,01.6,,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita
,,,01.61-0,Atividades de apoio à agricultura
,,,01.62-8,Atividades de apoio à pecuária
,,,01.63-6,Atividades de pós-colheita
,,01.7,,Caça e serviços relacionados
,,,01.70-9,Caça e serviços relacionados
,02,,,PRODUÇÃO FLORESTAL
,,02.1,,Produção florestal - florestas plantadas
,,,02.10-1,Produção florestal - florestas plantadas
,,02.2,,Produção florestal - florestas nativas
,,,02.20-9,Produção florestal - florestas nativas
,,02.3,,Atividades de apoio à produção florestal
,,,02.30-6,Atividades de apoio à produção florestal
2.2 - Estrutura detalhada da CNAE 2.0: Códigos e denominações,,,,
,,,,(continuação)
Seção,Divisão,Grupo,Classe,Denominação
,03,,,PESCA E AQÜICULTURA
,,03.1,,Pesca
,,,03.11-6,Pesca em água salgada
,,,03.12-4,Pesca em água doce
,,03.2,,Aqüicultura
,,,03.21-3,Aqüicultura em água salgada e salobra
,,,03.22-1,Aqüicultura em água doce
B,,,,INDÚSTRIAS EXTRATIVAS
,05,,,EXTRAÇÃO DE CARVÃO MINERAL
,,05.0,,Extração de carvão mineral
,,,05.00-3,Extração de carvão mineral
,06,,,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
,,06.0,,Extração de petróleo e gás natural
,,,06.00-0,Extração de petróleo e gás natural
,07,,,EXTRAÇÃO DE MINERAIS METÁLICOS
