comuna_id,comuna_nam,area_id,area_name,area_km2,poblacion,densidad
340,Vitacura,13132.0,Vitacura,28.3,84195,2975.08833922
307,Santiago,13101.0,Santiago,22.0,237369,10789.5
300,San Ramón,13131.0,San Ramón,7.0,85195,12170.7142857
293,San Miguel,13130.0,San Miguel,10.0,90846,9084.6
290,San Joaquín,13129.0,San Joaquín,9.7,94255,9717.01030928
264,Renca,13128.0,Renca,24.0,142136,5922.33333333
262,Recoleta,13127.0,Recoleta,16.0,152985,9561.5625
256,Quinta Normal,13126.0,Quinta Normal,13.0,101737,7825.92307692
249,Quilicura,13125.0,Quilicura,58.0,203946,3516.31034483
231,Pudahuel,13124.0,Pudahuel,197.0,225509,1144.71573604
228,Providencia,13123.0,Providencia,14.3,126487,8845.24475524
212,Peñalolén,13122.0,Peñalolén,54.0,249621,4622.61111111
205,Pedro Aguirre Cerda,13121.0,Pedro Aguirre Cerda,10.0,104018,10401.8
186,Ñuñoa,13120.0,Ñuñoa,16.9,195410,11562.7218935
162,Maipú,13119.0,Maipú,135.5,805000,5940.95940959
160,Macul,13118.0,Macul,12.9,111436,8638.4496124
145,Lo Prado,13117.0,Lo Prado,7.0,94766,13538.0
144,Lo Espejo,13116.0,Lo Espejo,7.0,99527,14218.1428571
143,Lo Barnechea,13115.0,Lo Barnechea,1024.0,97230,94.951171875
134,Las Condes,13114.0,Las Condes,99.0,289949,2928.77777778
125,La Reina,13113.0,La Reina,23.0,91927,3996.82608696
124,La Pintana,13112.0,La Pintana,30.6,202146,6606.07843137
121,La Granja,13111.0,La Granja,10.0,121214,12121.4
120,La Florida,13110.0,La Florida,70.2,397497,5662.35042735
117,La Cisterna,13109.0,La Cisterna,10.0,80910,8091.0
112,Independencia,13108.0,Independencia,7.0,73874,10553.4285714
110,Huechuraba,13107.0,Huechuraba,44.8,87667,1956.85267857
90,Estación Central,13106.0,Estación Central,15.0,119292,7952.8
83,El Bosque,13105.0,El Bosque,14.2,162671,11455.7042254
65,Conchalí,13104.0,Conchalí,10.7,121118,11319.4392523
36,Cerro Navia,13103.0,Cerro Navia,11.0,128090,11644.5454545
35,Cerrillos,13102.0,Cerrillos,21.0,79195,3771.19047619
226,Pozo Almonte,14.0,Tamarugal,13765.8,11519,0.836783913757
217,Pica,14.0,Tamarugal,8934.3,4194,0.469426815755
108,Huara,14.0,Tamarugal,10474.6,2360,0.225306932962
58,Colchane,14.0,Tamarugal,4015.6,1384,0.344655842215
26,Camiña,14.0,Tamarugal,2200.2,1156,0.525406781202
113,Iquique,11.0,Iquique,2242.1,184953,82.4909682887
5,Alto Hospicio,11.0,Iquique,572.9,94455,164.871705359
321,Tocopilla,23.0,Tocopilla,4038.8,20091,4.97449737546
165,María Elena,23.0,Tocopilla,12197.0,4593,0.376568008527
313,Taltal,21.0,Antofagasta,20405.1,13493,0.661256254564
309,Sierra Gorda,21.0,Antofagasta,12886.0,1206,0.0935899425733
170,Mejillones,21.0,Antofagasta,3803.9,9752,2.56368463945
9,Antofagasta,21.0,Antofagasta,30718.1,348669,11.3506043668
297,San Pedro de Atacama,22.0,El Loa,23439.0,5605,0.239131362259
189,Ollague,22.0,El Loa,2964.0,332,0.112010796221
19,Calama,22.0,El Loa,15596.9,147886,9.48175598997
330,Vallenar,33.0,Huasco,7084.0,52099,7.35446075663
109,Huasco,33.0,Huasco,1601.4,9015,5.62944923192
93,Freirina,33.0,Huasco,3207.9,6531,2.03591134387
4,Alto del Carmen,33.0,Huasco,5939.0,5488,0.924061289779
317,Tierra Amarilla,31.0,Copiapó,11191.0,13912,1.24314181038
68,Copiapó,31.0,Copiapó,16681.3,158261,9.48733012415
21,Caldera,31.0,Copiapó,4666.6,16150,3.4607637252
81,Diego de Almagro,32.0,Chañaral,18664.0,16452,0.88148306901
39,Chañaral,32.0,Chañaral,5772.0,14146,2.4507969508
334,Vicuña,41.0,Elqui,7610.0,26029,3.42036793693
195,Paihuano,41.0,Elqui,1495.0,4252,2.84414715719
126,La Serena,41.0,Elqui,1892.8,211275,111.620350803
122,La Higuera,41.0,Elqui,4158.2,4331,1.04155644269
69,Coquimbo,41.0,Elqui,1429.0,202441,141.66620014
7,Andacollo,41.0,Elqui,310.0,11116,35.8580645161
278,Salamanca,42.0,Choapa,3445.0,25671,7.45166908563
156,Los Vilos,42.0,Choapa,1823.8,18483,10.1343349051
111,Illapel,42.0,Choapa,2629.0,30598,11.638645873
27,Canela,42.0,Choapa,2196.6,9182,4.18009651279
271,Río Hurtado,43.0,Limarí,2180.0,4149,1.90321100917
237,Punitaqui,43.0,Limarí,1339.0,10418,7.78043315907
192,Ovalle,43.0,Limarí,3835.0,112956,29.4539765319
174,Monte Patria,43.0,Limarí,4366.9,30137,6.90123428519
62,Combarbalá,43.0,Limarí,2257.5,13818,6.12093023256
344,Zapallar,54.0,Petorca,288.0,6726,23.3541666667
215,Petorca,54.0,Petorca,11.6,10074,868.448275862
202,Papudo,54.0,Petorca,64.2,5643,87.8971962617
123,La Ligua,54.0,Petorca,1163.0,38524,33.124677558
16,Cabildo,54.0,Petorca,1455.0,21094,14.4975945017
339,Viña del Mar,51.0,Valparaíso,121.6,311399,2560.84703947
331,Valparaíso,51.0,Valparaíso,401.6,308137,767.273406375
257,Quintero,51.0,Valparaíso,148.0,28066,189.635135135
229,Puchuncaví,51.0,Valparaíso,300.0,16371,54.57
116,Juan Fernández,51.0,Valparaíso,149.4,792,5.30120481928
63,Con Cón,51.0,Valparaíso,76.0,63210,831.710526316
31,Casablanca,51.0,Valparaíso,953.0,25165,26.4060860441
308,Santo Domingo,56.0,San Antonio,536.0,9205,17.1735074627
279,San Antonio,56.0,San Antonio,405.0,87697,216.535802469
87,El Tabo,56.0,San Antonio,99.0,11861,119.808080808
86,El Quisco,56.0,San Antonio,51.0,15829,310.37254902
30,Cartagena,56.0,San Antonio,246.0,17029,69.2235772358
1,Algarrobo,56.0,San Antonio,176.0,13472,76.5454545455
306,Santa María,57.0,San Felipe de Aconcagua,166.3,14504,87.2158749248
285,San Felipe,57.0,San Felipe de Aconcagua,186.0,72121,387.747311828
242,Putaendo,57.0,San Felipe de Aconcagua,7.68,17369,2261.58854167
201,Panquehue,57.0,San Felipe de Aconcagua,121.9,7569,62.091878589
142,Llay Llay,57.0,San Felipe de Aconcagua,349.1,23680,67.8315668863
33,Catemu,57.0,San Felipe de Aconcagua,361.6,13902,38.4457964602
283,San Esteban,53.0,Los Andes,681.0,17371,25.5080763583
268,Rinconada,53.0,Los Andes,122.5,8097,66.0979591837
151,Los Andes,53.0,Los Andes,1248.0,110866,88.8349358974
24,Calle Larga,53.0,Los Andes,321.7,11110,34.535281318
